screenName,name,party,human
AfDKompakt,organization,AfD,n
FraukePetry,Frauke Petry,AfD,y
Joerg_Meuthen,Joerg Meuthen,AfD,y
Beatrix_vStorch,Beatrix von Storch,AfD,y
JulianFlak,Julian Flak,AfD,y
ArminPaulHampel,Armin Paul Hampel,AfD,y
Georg_Pazderski,Georg Pazderski,AfD,y
PoggenburgAndre,André Poggenburg,AfD,y
Alice_Weidel,Alice Weidel,AfD,y
CDU,NA,CDU,n
CDU,NA,CDU,n
AWidmannMauz,NA,CDU,y
KudlaLeipzig,NA,CDU,y
Thomas_Bareiss,NA,CDU,y
MdbWendt,NA,CDU,y
PLengsfeld,NA,CDU,y
SylviaPantel,NA,CDU,y
JanMetzler,NA,CDU,y
MarcusWeinberg,NA,CDU,y
EgonJuettner,NA,CDU,y
ArminLaschet,NA,CDU,y
SibyllePfeiffer,NA,CDU,y
MGrosseBroemer,NA,CDU,y
MaikBeermann,NA,CDU,y
UweSchummer,NA,CDU,y
armin_schuster,NA,CDU,y
kretsc,NA,CDU,y
guenterkrings,NA,CDU,y
KGWellmann,NA,CDU,y
JoWadephul,NA,CDU,y
peteraltmaier,NA,CDU,y
PSchnieder,NA,CDU,y
BettinaHornhues,NA,CDU,y
JensKoeppen,NA,CDU,y
groehe,NA,CDU,y
fuchtel,NA,CDU,y
drmfuchs,NA,CDU,y
PeterWeissMdB,NA,CDU,y
RKiesewetter,NA,CDU,y
kaiwegner,NA,CDU,y
juergenhardt,NA,CDU,y
rbrinkhaus,NA,CDU,y
ChristianHirte,NA,CDU,y
tj_tweets,NA,CDU,y
Erwin_Rueddel,NA,CDU,y
JuliaKloeckner,NA,CDU,y
franksteffel,NA,CDU,y
petertauber,NA,CDU,y
CSU,NA,CSU,n
TobiasZech,NA,CSU,y
AlexanderRadwan,NA,CSU,y
GudrunZollner,NA,CSU,y
Julia_Obermeier,NA,CSU,y
AndreaLindholz,NA,CSU,y
Florian_Ossner,NA,CSU,y
JohannesSingham,NA,CSU,y
BerndFabritius,NA,CSU,y
dieAlbsteigerin,NA,CSU,y
