neg_pos,token,POS,Wert,Inflektionen
neg,abbau,nn,-0.058,"abbaus,abbaues,abbauen,abbaue"
neg,abbruch,nn,-0.0048,"abbruches,abbrüche,abbruchs,abbrüchen"
neg,abdankung,nn,-0.0048,abdankungen
neg,abdämpfung,nn,-0.0048,abdämpfungen
neg,abfall,nn,-0.0048,"abfalles,abfälle,abfalls,abfällen"
neg,abfuhr,nn,-0.3367,abfuhren
neg,abgrund,nn,-0.3465,NA
neg,abhängigkeit,nn,-0.3653,abhängigkeiten
neg,ablehnung,nn,-0.5118,ablehnungen
neg,ablenkung,nn,-0.0435,ablenkungen
neg,abnahme,nn,-0.0048,abnahmen
neg,abneigung,nn,-0.0048,abneigungen
neg,abnutzung,nn,-0.0048,NA
neg,abriss,nn,-0.0048,"abrisse,abrissen,abrisses,abrisss"
neg,abrutsch,nn,-0.0048,"abrutschen,abrutsche,abrutsches,abrutschs"
neg,abschaffung,nn,-0.058,abschaffungen
neg,abschreckung,nn,-0.0048,abschreckungen
neg,abschreibung,nn,-0.3345,abschreibungen
neg,abschuß,nn,-0.0048,NA
neg,abschwächung,nn,-0.1935,abschwächungen
neg,absenkung,nn,-0.3434,absenkungen
neg,abspaltung,nn,-0.0048,abspaltungen
neg,absperrung,nn,-0.0048,absperrungen
neg,abstieg,nn,-0.3215,"abstiegs,abstiege,abstiegen,abstieges"
neg,abstoß,nn,-0.0048,"abstößen,abstöße,abstoßs,abstoßes"
neg,abstrich,nn,-0.3201,"abstrichen,abstrichs,abstriches,abstriche"
neg,abstumpfung,nn,-0.0048,NA
neg,absturz,nn,-0.4739,"abstürzen,absturzs,absturzes,abstürze"
neg,absurdität,nn,-0.0048,absurditäten
neg,abweichung,nn,-0.3462,abweichungen
neg,abweisung,nn,-0.0048,abweisungen
neg,abwertung,nn,-0.3283,abwertungen
neg,abwärtstrend,nn,-0.1941,NA
neg,abzocke,nn,-0.0048,NA
neg,achtlosigkeit,nn,-0.0048,NA
neg,affäre,nn,-0.1794,affären
neg,aggression,nn,-0.4889,aggressionen
neg,aggressivität,nn,-0.1958,aggressivitäten
neg,aggressor,nn,-0.3155,"aggressoren,aggressors"
neg,agitation,nn,-0.0048,agitationen
neg,alarm,nn,-0.0048,"alarme,alarms,alarmen,alarmes"
neg,alptraum,nn,-0.0048,"alpträume,alpträumen,alptraums,alptraumes"
neg,amateur,nn,-0.0048,"amateuren,amateure,amateurs"
neg,ambivalenz,nn,-0.3266,ambivalenzen
neg,androhung,nn,-0.0048,androhungen
neg,anfälligkeit,nn,-0.0048,NA
neg,angreifer,nn,-0.0048,"angreifers,angreifern"
neg,angriff,nn,-0.212,"angriffe,angriffen,angriffs,angriffes"
neg,angst,nn,-0.514,"angste,angsten"
neg,anklage,nn,-0.3468,anklagen
neg,anmaßung,nn,-0.0048,anmaßungen
neg,annullierung,nn,-0.0048,annullierungen
neg,anomalie,nn,-0.0048,anomalien
neg,anspannung,nn,-0.0048,anspannungen
neg,anstrengung,nn,-0.0048,anstrengungen
neg,antipathie,nn,-0.0048,antipathien
neg,arbeitslose,nn,-0.3549,arbeitslosen
neg,arbeitslosigkeit,nn,-0.3654,NA
neg,armut,nn,-0.2038,NA
neg,arroganz,nn,-0.3289,NA
neg,arschloch,nn,-0.1901,"arschlöcher,arschlochs,arschlöchern,arschloches"
neg,attacke,nn,-0.47,attacken
neg,aufhebung,nn,-0.0048,aufhebungen
neg,auflösung,nn,-0.0048,auflösungen
neg,aufregung,nn,-0.0386,aufregungen
neg,aufruhr,nn,-0.0048,"aufruhre,aufruhrs,aufruhren,aufruhres"
